Block,Street,Address,Zip,Trade Name,Corp Name,License
3206,EASTERN AVENUE,3206 EASTERN AVENUE,21224,EASTERN DISCOUNT LIQUORS,"3206 EASTERN, INC.",LA
3232A,EASTERN AVENUE,3232A EASTERN AVENUE,21224,OFF THE ROX,"ROX WINE SHOP, LLC",WD
3323,EASTERN AVENUE,3323 EASTERN AVENUE,21224,INDOVIET,"INDOVIET,LLC",LB
3508-10,EASTERN AVENUE,3508-10 EASTERN AVENUE,21224,CARLOS O CHARLIES,"3508 EASTERN, LLC",LB
3600-02,EASTERN AVENUE,3600-02 EASTERN AVENUE,21224,SPARTAN PIZZERIA RESTAURANT,PAL BROTHERS INC,WD
3706-08,EASTERN AVENUE,3706-08 EASTERN AVENUE,21224,K & D RESTAURANT,"K & D RESTAURANT, INC.",LB
3713,EASTERN AVENUE,3713 EASTERN AVENUE,21224,EL PUERTO JAROCHO,"EL PUERTO JAROCHO, INC.",WD
3724,EASTERN AVENUE,3724 EASTERN AVENUE,21224,BLUE BAY BAR & LIQUOR,"NEW MSB GROUP, LLC",LBD7
3802,EASTERN AVENUE,3802 EASTERN AVENUE,21224,COCINA DE LA ABUELITA,"ARCE RESTAURANT, LLC",WB
3804,EASTERN AVENUE,3804 EASTERN AVENUE,21224,BAYVIEW LIQUORS,"BAYVIEW, INC.",LBD7
3916,EASTERN AVENUE,3916 EASTERN AVENUE,21224,LA SIRENITA RESTAURANT II,"LA SIRENITA RESTAURANT IV, INC.",LB
3919-21,EASTERN AVENUE,3919-21 EASTERN AVENUE,21224,EL OASIS RESTAURANT Y DISCOTEC,"EL OASIS RESTAURANT Y DISCOTEC, INC.",LBD7
4616-18,EASTERN AVENUE,4616-18 EASTERN AVENUE,21224,BYZANTIO CAFE BAR,"WENDY'S BAR, INC.",LBD7
4617-19,EASTERN AVENUE,4617-19 EASTERN AVENUE,21224,CHARRO NEGRO,"CHARRO NEGRO, LLC",LB
4710,EASTERN AVENUE,4710 EASTERN AVENUE,21224,ZORBAS RESTAURANT,"DIAFANI, INC.",LB
4714-18,EASTERN AVENUE,4714-18 EASTERN AVENUE,21224,PLAKA TAVERN,"PANAGIA OF ELEROS, LLC",LBD7
4719,EASTERN AVENUE,4719 EASTERN AVENUE,21224,TOM'S BAR,"ST GEORGE OF XADIES, LLC",LBD7
4801,EASTERN AVENUE,4801 EASTERN AVENUE,21224,O'CONNOR'S LIQUORS & BAR LA BAHIA,"SUBEDI BROTHERS, LLC",LBD7
4819-25,EASTERN AVENUE,4819-25 EASTERN AVENUE,21224,LOU'S BAR AND LIQUORS,L & M ENTERPRISES INC.,LBD7
4901-05,EASTERN AVENUE,4901-05 EASTERN AVENUE,21224,IKAROS RESTAURANT,"DEDALOS RESTAURANT, LLC",LB
6000,EASTERN AVENUE,6000 EASTERN AVENUE,21224,CATCH 22 SALOON,"GO 22, LLC",LBD7
6207-11,EASTERN AVENUE,6207-11 EASTERN AVENUE,21224,MICHAEL'S STEAK & LOBSTER HOUSE,"MICHAEL'S STEAK & LOBSTER HOUSE, INC.",LBD7
6400,EASTERN AVENUE,6400 EASTERN AVENUE,21224,EASTERN LIQUORS,"6400 EASTERN LIQUORS, INC.",LA
6501,EASTERN AVENUE,6501 EASTERN AVENUE,21224,BROADWAY DINER,"LLPD,LLC",LB
6804,EASTERN AVENUE,6804 EASTERN AVENUE,21224,GLASS GRILL,"M & J 6804 PROPERTY, LLC",LB
6820-24,EASTERN AVENUE,6820-24 EASTERN AVENUE,21224,N/A,SECURED CREDITOR,LB
1601,EASTERN AVENUE,1601 EASTERN AVENUE,21231,BRASS MONKEY SALOON,"PO'SAM, INC.",LBD7
1627-33,EASTERN AVENUE,1627-33 EASTERN AVENUE,21231,POLISH NATIONAL ALLIANCE COUNCIL 21,POLISH NATIONAL ALLIANCE COUNCIL 21,LC
1713-15,EASTERN AVENUE,1713-15 EASTERN AVENUE,21231,ENIGMA BAR AND RESTAURANT,"SUNLIGHT LOUNGE, INC.",LD
1731,EASTERN AVENUE,1731 EASTERN AVENUE,21231,BMORE TAQUERIA,"WICHAS, LLC",WD
2036,EASTERN AVENUE,2036 EASTERN AVENUE,21231,PORT CITY TAVERN,"PORT CITY TAVERN,INC.",LBD7
2106-08,EASTERN AVENUE,2106-08 EASTERN AVENUE,21231,JOHNNY RAD'S PIZZERIA TAVERN,"FLOM, LLC",LBD7
2239,EASTERN AVENUE,2239 EASTERN AVENUE,21231,PARK INN,"PRP ENTERPRISES, INC.",LD
5601,EASTERN AVENUE K/A 5701A FLEET STREET,5601 EASTERN AVENUE K/A 5701A FLEET STREET,21224,FLEET STREET SPIRITS,"Y56 BWA OPERATOR, LLC",LBD7
101,EATON STREET SOUTH,101 EATON STREET SOUTH,21224,EATON LIQUORS,"101 EATON LIQUORS, LLC",LA
400,EATON STREET SOUTH,400 EATON STREET SOUTH,21224,AMIGOS BAR,"AMIGOS BAR, INC",LD
701,EDEN STREET SOUTH,701 EDEN STREET SOUTH,21231,RA SUSHI,RA SUSHI BALTIMORE CORP.,LB
701,EDEN STREET SOUTH,701 EDEN STREET SOUTH,21231,TEAVOLVE,"TEA-OLOGY, LLC",LB
3302,EDGEWOOD STREET,3302 EDGEWOOD STREET,21216,EDGEWOOD DISCOUNT LIQUORS,"HYUN'S MARKET, INC.",LA
1901,EDMONDSON AVENUE,1901 EDMONDSON AVENUE,21223,UPTOWN BAR,"RARA 6, INC.",LBD7
2000,EDMONDSON AVENUE,2000 EDMONDSON AVENUE,21223,EDMONDSON LIQUORS,"YUN SANG, INC.",LA
2300,EDMONDSON AVENUE,2300 EDMONDSON AVENUE,21223,BROWN LIQUOR,"PREPARATION, INC.",LA
2550,EDMONDSON AVENUE,2550 EDMONDSON AVENUE,21223,PERRY'S LIQUORS,"JE & KN LIQUORS, INC.",LA
2802,EDMONDSON AVENUE,2802 EDMONDSON AVENUE,21223,AMKO LIQUOR,"AMKO LIQUORS, INC.",LA
2830,EDMONDSON AVENUE,2830 EDMONDSON AVENUE,21223,BIG JOE'S LOVE NEST,"KJBC, INC.",LBD7
3401,EDMONDSON AVENUE,3401 EDMONDSON AVENUE,21229,DENISON LIQUORS,,LA
3939,EDMONDSON AVENUE,3939 EDMONDSON AVENUE,21229,SEVEN DAY STORE,"SEVEN DAY STORE, LLC",WA
4001,EDMONDSON AVENUE,4001 EDMONDSON AVENUE,21229,UPLAND LIQUORS,"S & S OH ENTERPRISES, INC.",LA
4220,EDMONDSON AVENUE,4220 EDMONDSON AVENUE,21229,VILLAGE LIQUORS,"S AND H LIQUORS, INC.",LA-2
3123,ELLIOTT STREET,3123 ELLIOTT STREET,21224,THE DIVE,"TONY PIZZAS, LLC",LD
3601,ELM AVENUE,3601 ELM AVENUE,21211,WINE SOURCE,"WELLS ENTERPRISES,INC.",LBD7
3859,ELMLEY AVENUE,3859 ELMLEY AVENUE,21213,ELMLEY DELI,"H & P DELI, INC.",WA
4809-11,ERDMAN AVENUE,4809-11 ERDMAN AVENUE,21205,GARDEN BAR,"GARDEN BAR, INC.",LBD7
4217,ERDMAN AVENUE,4217 ERDMAN AVENUE,21213,CLUBHOUSE BAR & GRILL,"BSRR,LLC",LBD7
4332,ERDMAN AVENUE,4332 ERDMAN AVENUE,21213,HUB WINE & SPIRITS,"GOLDEN PRIME, LLC",LA
4500-04,ERDMAN AVENUE,4500-04 ERDMAN AVENUE,21213,BUSY BEE,"MUNA,LLC",LBD7
3931,ERDMAN AVENUE (SHOP.CNTR),3931 ERDMAN AVENUE (SHOP.CNTR),21213,ERDMAN LIQUORS,"BE A NEIGHBOR, LLC",LA
1517,EUTAW PLACE,1517 EUTAW PLACE,21217,THE TILTED ROW,"305 MCMECHEN, LLC",LB
1701,EUTAW PLACE,1701 EUTAW PLACE,21217,EUTAW MARKET,"KIM & SON COMPANY, LLC",LA
115-17,EUTAW STREET,115-17 EUTAW STREET,21201,HERLING'S GROCERY BASKET,"HYUN & SUNG, INC.",LA
12,EUTAW STREET NORTH,12 EUTAW STREET NORTH,21201,FRANCE MERRICK PERFORMING ARTS CENTER,"SPECTRUM CONCESSIONS, LLC",LBD7
17,EUTAW STREET NORTH,17 EUTAW STREET NORTH,21201,FORNO,"FORNO, LLC",LB
112,EUTAW STREET NORTH,112 EUTAW STREET NORTH,21201,LEXINGTON MARKET,"LEXINGTON MARKET QALICB, LLC",LB
308,EUTAW STREET NORTH,308 EUTAW STREET NORTH,21201,SON SON TAVERN & LIQUOR STORE,"SON-SON, INC.",LBD7
620A,EUTAW STREET NORTH,620A EUTAW STREET NORTH,21201,A-1 DELI,"WIBET, INC.",LA
429,EUTAW STREET NORTH 1N,429 EUTAW STREET NORTH 1N,21201,REFOCUSED,"REFOCUSED,LLC",LB
34,EUTAW STREET SOUTH,34 EUTAW STREET SOUTH,21201,JANO ETHIOPIA,"JANO ETHIOPIAN RESTAURANT & LOUNGE, LLC",LB
36-38,EUTAW STREET SOUTH,36-38 EUTAW STREET SOUTH,21201,GODDESS,"36 S. EUTAW, INC.",AE
110,EUTAW STREET SOUTH,110 EUTAW STREET SOUTH,21201,MARRIOTT INNER HARBOR,"SC BALTIMORE HOTEL, LLC",LBHM
4400,EVANS CHAPEL ROAD,4400 EVANS CHAPEL ROAD,21211,WINE UNDERGROUND,"AYAAN,LLC",LA
300,EXETER STREET SOUTH,300 EXETER STREET SOUTH,21202,OVENBIRD BAKERY,"OVENBIRD BAKERY, LLC",LD
301,EXETER STREET SOUTH,301 EXETER STREET SOUTH,21202,OSTERIA DA AMEDEO,"301 EXETER, INC.",LD
608,EXETER STREET SOUTH,608 EXETER STREET SOUTH,21202,NEW CHIU'S SUSHI,"NEW CHIU'S SUSHI, INC.",LB
100,FAGLEY STREET SOUTH,100 FAGLEY STREET SOUTH,21224,EL RANCHO BLANCO,,LBD7
3563,FAIRFIELD ROAD,3563 FAIRFIELD ROAD,21226,PAIK'S PLACE,,LBD7
3603-05,FAIRHAVEN AVENUE,3603-05 FAIRHAVEN AVENUE,21226,FRED & MARGIE'S INN,"MARGE'S INN, INC.",LB
3230,FAIRMOUNT AVENUE EAST,3230 FAIRMOUNT AVENUE EAST,21224,LA ISLA TAVERNA,"UNION CENTRO AMERICANA, LLC",LBD7
3537,FAIRMOUNT AVENUE EAST,3537 FAIRMOUNT AVENUE EAST,21224,AQUA BAR & GRILL,"NITRO, LLC",LBD7
2031,FAIRMOUNT AVENUE EAST,2031 FAIRMOUNT AVENUE EAST,21231,LIFE OF REILLY IRISH PUB & RESTAURANT,"LIFE OF REILLY, INC.",LB
2700,FAIRMOUNT AVENUE WEST,2700 FAIRMOUNT AVENUE WEST,21223,AKO LIQUORS,,LBD7
2701,FAIRMOUNT AVENUE WEST,2701 FAIRMOUNT AVENUE WEST,21223,THE L SPOT,"THE L SPOT, LLC",LBD7
2522-24,FAIT AVENUE,2522-24 FAIT AVENUE,21224,SMALTIMORE,"J-MAKTO COMPANY, LLC",LBD7
3100,FAIT AVENUE,3100 FAIT AVENUE,21224,GIOVANNI'S TUTTI GUSTI,"COSTACOLE, LLC",LD
5736,FALLS ROAD,5736 FALLS ROAD,21209,COPPERMINE,"INKWORKS, INC.",LBD7
5050,FALLS ROAD,5050 FALLS ROAD,21210,RADISSON HOTEL AT CROSS KEYS,SHAZALINA HOSPITALITY CORPORATION,LBHM
5102,FALLS ROAD,5102 FALLS ROAD,21210,VILLAGE OF CROSS KEYS,"CVP CROSS KEYS HOLDINGS, LLC",LB
3000,FALLS ROAD,3000 FALLS ROAD,21211,COSIMA,"KATSU COMPANY,LLC",LB
3616-20,FALLS ROAD,3616-20 FALLS ROAD,21211,ATOMIC BOOKS,WUNDERPANTS PRODUCTIONS INC.,WB
3622-26,FALLS ROAD,3622-26 FALLS ROAD,21211,NEPENTHE BREWING CO.,"NEPENTHE HOMEBREW, LLC",LB
3701,FALLS ROAD,3701 FALLS ROAD,21211,HAMPDEN PARK LIQUORS,LUCKY J&M CORPORATION,LA
3820,FALLS ROAD,3820 FALLS ROAD,21211,PAPI'S HAMPDEN,"PAPI'S HAMPDEN,LLC",LBD7
3827-33,FALLS ROAD,3827-33 FALLS ROAD,21211,GOOD NEIGHBOR,"GOOD NEIGHBOR, INC.",LB
3845,FALLS ROAD,3845 FALLS ROAD,21211,WICKED SISTERS,"WICKED SISTERS, LLC",LB
4001,FALLS ROAD,4001 FALLS ROAD,21211,REDFISH LIQUORS,SHREE LLC,LA
615,FALLSWAY,615 FALLSWAY,21202,THE PENTHOUSE CLUB,"BALTIMORE SPORTS BAR, LLC",AE
901-05,FAWN STREET,901-05 FAWN STREET,21202,SABATINO'S RESTAURANT,"SABATINO'S, INC.",LB
1263,FAYETTE STREET EAST,1263 FAYETTE STREET EAST,21202,GLASS DOOR LOUNGE,"GLASS DOOR LOUNGE, INC.",LBD7
2711,FAYETTE STREET EAST,2711 FAYETTE STREET EAST,21224,EPIC LOUNGE BAR & CUTRATE,"EPIC LOUNGE BAR CUTRATE, LLC",LBD7
1325,FAYETTE STREET EAST,1325 FAYETTE STREET EAST,21231,JOY'S LIQUORS,"J & K JOY LIQUORS, INC.",LA
1434,FAYETTE STREET EAST,1434 FAYETTE STREET EAST,21231,FAYETTE LIQUOR PLUS,"GURJAS, LLC",LA
315,FAYETTE STREET WEST,315 FAYETTE STREET WEST,21201,EVERYMAN THEATRE,"EVERYMAN THEATRE, INC.",LBD7
400,FAYETTE STREET WEST,400 FAYETTE STREET WEST,21201,SPRINGHILL SUITES,"PHOTA-FD BALTIMORE, LLC",LBHM
1001,FLEET STREET,1001 FLEET STREET,21202,TACO FIESTA,"TACO FIESTA, LLC",LB
1012,FLEET STREET,1012 FLEET STREET,21202,TAGLIATA,"TAGLIATA/ELK ROOM, LLC",LB
2300,FLEET STREET,2300 FLEET STREET,21224,HOUSE OF SPIRITS,,LA
2318,FLEET STREET,2318 FLEET STREET,21224,MAYUREE THAI TAVERN,"P & T COMPANY, LLC",LBD7
2501-03,FLEET STREET,2501-03 FLEET STREET,21224,N/A,SECURED CREDITOR,LBD7
3734,FLEET STREET,3734 FLEET STREET,21224,SO BALTIMORE SPORTS BAR & GRILL,"SO BALTIMORE, LLC",LBD7
1100,FLEET STREET,1100 FLEET STREET,21231,NANDO'S PERI PERI,"NANDO'S OF HARBOR EAST, LLC",LB
1708,FLEET STREET,1708 FLEET STREET,21231,SAJHOMA,"SAJHOMA, LLC",LBD7
1820-22,FLEET STREET,1820-22 FLEET STREET,21231,GREYHOUND TAVERN,"1822 FLEET STREET MANAGMENT COMPANY, LLC",LD
1919,FLEET STREET,1919 FLEET STREET,21231,1919,FLEET STREET COMPANY,LBD7
1928,FLEET STREET,1928 FLEET STREET,21231,STUGGY'S,"STUGGY'S, INC.",LB
1939,FLEET STREET,1939 FLEET STREET,21231,ALE MARY'S,"SIDERAIL, INC.",LBD7
2100-02,FLEET STREET,2100-02 FLEET STREET,21231,KISLINGS TAVERN,"KISLINGS, INC.",LBD7
2101,FLEET STREET,2101 FLEET STREET,21231,LOADING DOCK,"LOADING DOCK DISCOUNT LIQUORS, INC.",LA
2112,FLEET STREET,2112 FLEET STREET,21231,GET IT INN 2,"JP PARTNERS, INC.",LB
1100,FLEET STREET #1302,1100 FLEET STREET #1302,21202,BLK SWAN RESTAURANT,"BLK SWAN RESTAURANT, LLC",LB
36,FORT AVENUE EAST,36 FORT AVENUE EAST,21230,MUIR'S TAVERN,"MUIR'S TAVERN LLC,",LD
201,FORT AVENUE EAST,201 FORT AVENUE EAST,21230,IDLE HOUR,"BRENDAL, INC.",LBD7
425-27,FORT AVENUE EAST,425-27 FORT AVENUE EAST,21230,VFW POST 10078,STAR SPANGLED BANNER MEMORIAL POST 10078,LC
430,FORT AVENUE EAST,430 FORT AVENUE EAST,21230,SOUTHSIDE SALOON,"SOUTHSIDE SALOON, LLC",LBD7
547-49,FORT AVENUE EAST,547-49 FORT AVENUE EAST,21230,HARBORVIEW LIQUORS,"NEW HARBORVIEW, INC.",LA
554,FORT AVENUE EAST,554 FORT AVENUE EAST,21230,MINDPUB,"MINDPUB, LLC",LB
601-05,FORT AVENUE EAST,601-05 FORT AVENUE EAST,21230,CAPTAIN LARRY'S,"CANDLEFACE, LLC",LBD7
620,FORT AVENUE EAST,620 FORT AVENUE EAST,21230,BARFLY'S,"MJL INVESTMENTS, LLC",LBD7
701,FORT AVENUE EAST,701 FORT AVENUE EAST,21230,SHOTTIS POINT CHARM CITY,"LOLAS, LLC",LBD7
821-23,FORT AVENUE EAST,821-23 FORT AVENUE EAST,21230,WILEY GUNTERS,"3G, LLC",LBD7
838,FORT AVENUE EAST,838 FORT AVENUE EAST,21230,THE LOCAL OYSTER,"LAWRENCE AND FORT, LLC",LBD7
900,FORT AVENUE EAST,900 FORT AVENUE EAST,21230,DON TIGRE MEXICAN GRILL,"MAMA BLESSINGS, INC.",LB
921,FORT AVENUE EAST,921 FORT AVENUE EAST,21230,MERRITT ATHLETIC CLUB-FORT AVENUE,"FORT AVENUE ENTERTAINMENT, LLC",LBD7
1036,FORT AVENUE EAST,1036 FORT AVENUE EAST,21230,HARRY'S RESTAURANT & BAR OF LOCUST POINT,"IRON WORKS, INC.",LBD7
1100,FORT AVENUE EAST,1100 FORT AVENUE EAST,21230,L.P. STEAMERS,"L.P. STEAMERS, INC.",WD
1215,FORT AVENUE EAST,1215 FORT AVENUE EAST,21230,DIAMONDBACK BREWING,"DIAMONDBACK BREWING COMPANY, LLC",D
1230,FORT AVENUE EAST,1230 FORT AVENUE EAST,21230,BARRACUDA,"BARRACUDA, LLC",LBD7
1700-04,FORT AVENUE EAST,1700-04 FORT AVENUE EAST,21230,CITY LIMITS SPORTS BAR,"1700 EAST FORT AVENUE, LLC",LBD7
900,FORT AVENUE EAST SUITE C,900 FORT AVENUE EAST SUITE C,21230,AMBER,"GK2,LLC",LB
921,FORT AVENUE EAST UNIT 135,921 FORT AVENUE EAST UNIT 135,21230,COPPER SHARK,"COPPER SHARK, LLC",LBD7
900,"FORT AVEUNE EAST , SUITE 101","900 FORT AVEUNE EAST , SUITE 101",21230,LIMONCELLO ITALIAN RESTAURANT & WINE BAR,"LIMONCELLO OF BALTIMORE,LLC",LB
2619-21,FOSTER AVENUE,2619-21 FOSTER AVENUE,21224,POL'S TAVERN,"2619-21 FOSTER AVENUE, LLC",LBD7
3242,FOSTER AVENUE,3242 FOSTER AVENUE,21224,PIG & ROOSTER SMOKEHOUSE,"PIG & ROOSTER SMOKEHOUSE, LLC",LBD7
3301,FOSTER AVENUE,3301 FOSTER AVENUE,21224,MARSKI BAR,"MARSKI BAR, LLC",LBD7
3326-28,FOSTER AVENUE,3326-28 FOSTER AVENUE,21224,THE CHASSEUR,"SOLDI FOSSA, LLC",LBD7
3400,FOSTER AVENUE,3400 FOSTER AVENUE,21224,MEN'S CLUB-SACRED HEART OF JESUS CHURCH,MEN'S CLUB-SACRED HEART OF JESUS CHURCH,WC
3513,FOSTER AVENUE,3513 FOSTER AVENUE,21224,ST. GERARD'S YMA,"ST. GERARD'S YMA OF HIGHLANDTOWN, INC.",LC
4015,"FOSTER AVENUE, SUITE 400","4015 FOSTER AVENUE, SUITE 400",21224,MOBTOWN BREWING COMPANY,"MOBTOWN BREWING COMPANY, LLC",D
4905,FRANKFORD AVENUE,4905 FRANKFORD AVENUE,21206,ONE STOP SHOP LIQUOR,"SAHANI,INC.",LA
5302,FRANKFORD AVENUE,5302 FRANKFORD AVENUE,21206,TUSKER LOUNGE,"53 GREYSTONE, LLC",LBD7
6412-16,FRANKFORD AVENUE,6412-16 FRANKFORD AVENUE,21206,RED ROOSTER,"RED ROOSTER, INC.",AE
10-Aug,FRANKLIN STREET EAST,8-10 FRANKLIN STREET EAST,21202,RESTAURANTE TIO PEPE,"TIO PEPE, INC.",LB
24,FRANKLIN STREET WEST,24 FRANKLIN STREET WEST,21201,HOTEL INDIGO BALTIMORE - MT. VERNON,"MVH BALTIMORE HOTEL, LLC",LBHM
315,FRANKLIN STREET WEST,315 FRANKLIN STREET WEST,21201,THE PLACE,"REDNIWA, INC.",LD
994,FRANKLINTOWN ROAD NORTH,994 FRANKLINTOWN ROAD NORTH,21216,PRICE'S GROCERY,,WA
229,FRANKLINTOWN ROAD NORTH,229 FRANKLINTOWN ROAD NORTH,21223,THE BAMBOU,UNITY ENTERPRISES LLC,LBD7
2104,FREDERICK AVENUE,2104 FREDERICK AVENUE,21223,J & H LIQUORS,,LA
2105-07,FREDERICK AVENUE,2105-07 FREDERICK AVENUE,21223,AL-HO CLUB,"J.V.W., INC.",LBD7
2413,FREDERICK AVENUE,2413 FREDERICK AVENUE,21223,WESTSIDE LIQUORS,"GABE, LLC",LA
2949,FREDERICK AVENUE,2949 FREDERICK AVENUE,21223,MYSTIC TAVERN,"MYSTIC T & M, INC.",LBD7
3061,FREDERICK AVENUE,3061 FREDERICK AVENUE,21223,THREE BROTHERS,"ROTHENHOEFER BROTHERS, INC.",LA
4019,FREDERICK AVENUE,4019 FREDERICK AVENUE,21229,FREDERICK STATION SALOON,"K & S ENTERPRISE, INC.",LBD7
4100,FREDERICK AVENUE,4100 FREDERICK AVENUE,21229,IRVINGTON CUT RATE LIQUORS,"TBS LAKE VIEW, LLC",LA
4742,FREDERICK AVENUE,4742 FREDERICK AVENUE,21229,CORNER LIQUOR MART,"GROW, LLC",LA
1301-03,FULTON AVENUE NORTH,1301-03 FULTON AVENUE NORTH,21217,FOX LIQUORS,"HM ENTERPRISE, INC.",LA
1501,FULTON AVENUE NORTH,1501 FULTON AVENUE NORTH,21217,DOC'S LIQUOR,"DOC  LIQUORS , INC",LA
2217-19,FULTON AVENUE NORTH,2217-19 FULTON AVENUE NORTH,21217,BUNNY'S LIQUORS,"STCL, INC.",LA
401,FURROW STREET SOUTH,401 FURROW STREET SOUTH,21223,MADELINE DELI GROCERY BEER AND WINE,"MADELINE DELI GROCERY BEER AND WINE, INC.",WA
3600,GARRISON AVENUE WEST,3600 GARRISON AVENUE WEST,21215,D&J BEER AND WINE,"D&J BEER AND WINE,INC.",WA
4601,GARRISON BOULEVARD,4601 GARRISON BOULEVARD,21215,L & S FOOD MARKET,"ZHENG, LLC",WA
4601,GARRISON BOULEVARD,4601 GARRISON BOULEVARD,21215,LS FOOD MARKET,"ZHENG, LLC",LA
2906-B,GARRISON BOULEVARD,2906-B GARRISON BOULEVARD,21216,GARRISON LIQUORS,"SIYA, LLC",LA
1871,GAY STREET NORTH,1871 GAY STREET NORTH,21213,SUPER Z LIQUOR,"SUPER Z LIQUOR, INC.",LA
6700,GERMAN HILL ROAD,6700 GERMAN HILL ROAD,21222,PLAYBOOK,"WEIDOG, LLC",LBD7
300,GILMOR STREET NORTH,300 GILMOR STREET NORTH,21223,YUAN & ZHENG LIQUOR & GROCERY,YUAN ZHENG COMPANY,LA
625-27,GLOVER STREET NORTH,625-27 GLOVER STREET NORTH,21205,RED DOOR,"AKISHA, LLC",LBD7
3531,GOUGH STREET,3531 GOUGH STREET,21224,SALLY O'S,"FISHERMAN'S DAUGHTER, LLC",LD
3700,GOUGH STREET,3700 GOUGH STREET,21224,DIPASQUALE'S,"L. DIPASQUALE & SONS, INC.",LBD7
1901,GOUGH STREET,1901 GOUGH STREET,21231,N/A,SECURED CREDITOR,LBD7
2057,GOUGH STREET,2057 GOUGH STREET,21231,MARY'S TAVERN,,LD
2200,GOUGH STREET,2200 GOUGH STREET,21231,BUTTS & BETTY'S TAVERN,"BUTTS & BETTY'S TAVERN, INC.",LBD7
3925,"GOUGH STREET, SUITE 2","3925 GOUGH STREET, SUITE 2",21224,OVENBIRD BAKERY,"OVENBIRD-GOUGH STREET, LLC",LB
3128,GREENMOUNT AVE,3128 GREENMOUNT AVE,21218,RED EMMA'S BOOKSTORE COFFEEHOUSE,RED EMMA'S COOPERATIVE CORPORATION,LB
1041,GREENMOUNT AVENUE,1041 GREENMOUNT AVENUE,21202,PENN LIQUOR,"HYUN'S LIQUORS, INC.",LBD7
1238,GREENMOUNT AVENUE,1238 GREENMOUNT AVENUE,21202,THE AVENUE BAR AND LIQUORS,"GURDER,LLC",LBD7
1318-20,GREENMOUNT AVENUE,1318-20 GREENMOUNT AVENUE,21202,GREENMOUNT LOUNGE,"SMITH & ADEKOYA OBAYANJU, INC.",LBD7
2102-04,GREENMOUNT AVENUE,2102-04 GREENMOUNT AVENUE,21218,CLUB HOUSE,"HOUSE OF CLUBS, INC.",LA
2405,GREENMOUNT AVENUE,2405 GREENMOUNT AVENUE,21218,MOON'S GREENMOUNT LIQUORS,"MOON'S LIQUORS, INC.",LA-2
2607-09,GREENMOUNT AVENUE,2607-09 GREENMOUNT AVENUE,21218,MIMI'S DISCOUNT LIQUORS,"ABW, INC.",LA
2731,GREENMOUNT AVENUE,2731 GREENMOUNT AVENUE,21218,TOKI UNDERGROUND,"TOKI UNDERGROUND, LLC",LB
2736,GREENMOUNT AVENUE,2736 GREENMOUNT AVENUE,21218,BULL ROBINSON LIQUORS,"HUNDRED THOUSAND, INC.",LA
3113,GREENMOUNT AVENUE,3113 GREENMOUNT AVENUE,21218,HARRY'S LIQUORS,"HARRY'S LIQUORS, INC.",LA
3126,GREENMOUNT AVENUE,3126 GREENMOUNT AVENUE,21218,MELBA'S PLACE,,LBD7
3208,GREENMOUNT AVENUE,3208 GREENMOUNT AVENUE,21218,KITTY'S LOUNGE,"PAN, INC.",LBD7
3316,GREENMOUNT AVENUE,3316 GREENMOUNT AVENUE,21218,THAI RESTAURANT,"ROYAL THAI, LLC",LBD7
3351-53,GREENMOUNT AVENUE,3351-53 GREENMOUNT AVENUE,21218,STADIUM LOUNGE,"DOMINGO KIM ENTERPRISES, INC.",LBD7
2803,GRINDON AVENUE,2803 GRINDON AVENUE,21214,CLIFTON PLEASURE CLUB,"CLIFTON PLEASURE CLUB, INC.",LC
316-18,GUILFORD AVENUE,316-18 GUILFORD AVENUE,21202,IKONIC ASSEMBLY ROOM,"316-18 GUILFORD AVENUE, LLC",LBAL
1611,GUILFORD AVENUE,1611 GUILFORD AVENUE,21202,GUILFORD BREWING,"GUILFORD BREWING, LLC",LB
4810,GUNTHER AVENUE,4810 GUNTHER AVENUE,21206,BALTIMORE KICKERS,"BALTIMORE KICKERS, INC.",LC
141-45,HAMBURG STREET WEST,141-45 HAMBURG STREET WEST,21230,JACK'S LIQUORS,,LA-2
1171-73,HAMBURG STREET WEST,1171-73 HAMBURG STREET WEST,21230,DA SPOT,"DA SPOT, LLC",LBD7
3407,HAMILTON AVENUE,3407 HAMILTON AVENUE,21214,HAMILTON QUICK-MART,"RHS08, INC.",LA
14,HAMILTON STREET WEST,14 HAMILTON STREET WEST,21201,14 WEST HAMILTON STREET CLUB,"14 WEST HAMILTON STREET CLUB, INC.",LC
3432-34,HANOVER STREET SOUTH,3432-34 HANOVER STREET SOUTH,21225,THE HANOVER,"TWO DJ, LLC",LBD7
3525-27,HANOVER STREET SOUTH,3525-27 HANOVER STREET SOUTH,21225,BROOKLYN LIQUORS,"NEW  MJ SINGH, LLC",LBD7
3538,HANOVER STREET SOUTH,3538 HANOVER STREET SOUTH,21225,STOCKMARKET BAR,"JAMS INVESTMENT, INC.",LBD7
3916,HANOVER STREET SOUTH,3916 HANOVER STREET SOUTH,21225,MAYNARD'S CAFE,3916 CORPORATION,LBD7
1132,HANOVER STREET SOUTH,1132 HANOVER STREET SOUTH,21230,MUM'S THE WORD,"BSH, INC.",LBD7
1500,HANOVER STREET SOUTH,1500 HANOVER STREET SOUTH,21230,AJ 'S ON HANOVER,"1500 HANOVER, LLC",LBD7
1649-51,HANOVER STREET SOUTH,1649-51 HANOVER STREET SOUTH,21230,HAIR OF THE DOG BALTIMORE,"BROKEN MAIDEN, LLC",LBD7
